i,variaveis,tentativas,populacao,melhor_fitness,melhor_geracao,tempo_execucao
1,0,1000,8,0.0,1000,4.68
1,0,10000,8,86.3517,10000,42.72
4,1,10000,8,100.0,10000,456.13
4,1,10,8,101.9428,10,0.24
4,1,100,8,100.0,100,2.35
4,1,1000,8,100.0,1000,20.93
4,2,10000,8,8585.5488,10000,2583.84
4,0,1000,8,100.0,1000,5.26
4,2,100,8,100.0001,100,25.91
4,2,1000,8,100.0,1000,259.13
4,0,10000,8,138.8288,10000,49.56
1,0,100,8,0.0,100,0.42
4,0,100,8,100.0,100,0.76
4,0,10,8,100.0077,10,0.04
4,2,10,8,121.0867,10,2.55
